縣市區,年,月,毒品案件數,派出所數量,集會次數,宗教團體數,竊盜案件數,學校數,離婚筆數,交通案件數,青少年犯罪數(竊盜)
高雄市湖內區,106,1月,4,3,0,28,2,18,165,47,0
高雄市湖內區,106,2月,4,3,0,28,1,18,165,25,0
高雄市湖內區,106,3月,11,3,1,28,1,18,165,58,0
高雄市湖內區,106,4月,13,3,0,28,3,18,165,36,0
高雄市湖內區,106,5月,4,3,0,28,1,18,165,49,0
高雄市湖內區,106,6月,7,3,1,28,1,18,165,48,0
高雄市湖內區,106,7月,6,3,0,28,3,18,165,43,0
高雄市湖內區,106,8月,1,3,0,28,1,18,165,39,0
高雄市湖內區,106,9月,5,3,0,28,0,18,165,34,0
高雄市燕巢區,106,10月,3,3,0,55,2,21,213,60,0
高雄市燕巢區,106,11月,5,3,0,55,1,21,213,58,0
高雄市燕巢區,106,12月,3,3,0,55,0,21,213,58,0
高雄市燕巢區,106,1月,3,3,0,55,6,21,213,65,1
高雄市燕巢區,106,2月,2,3,0,55,2,21,213,48,0
高雄市燕巢區,106,3月,13,3,1,55,5,21,213,67,0
高雄市燕巢區,106,4月,12,3,0,55,5,21,213,74,0
高雄市燕巢區,106,5月,16,3,0,55,4,21,213,57,0
高雄市燕巢區,106,6月,13,3,0,55,1,21,213,71,0
高雄市燕巢區,106,7月,8,3,1,55,0,21,213,46,0
高雄市燕巢區,106,8月,2,3,1,55,4,21,213,42,0
高雄市燕巢區,106,9月,6,3,0,55,1,21,213,67,1
高雄市田寮區,106,10月,2,4,0,40,0,9,149,6,0
高雄市田寮區,106,1月,2,4,0,40,0,9,149,4,0
高雄市田寮區,106,2月,2,4,0,40,0,9,149,2,0
高雄市田寮區,106,3月,2,4,0,40,0,9,149,3,0
高雄市田寮區,106,5月,4,4,0,40,0,9,149,10,0
高雄市田寮區,106,6月,4,4,0,40,1,9,149,6,0
高雄市田寮區,106,7月,3,4,0,40,0,9,149,9,0
高雄市田寮區,106,9月,2,4,0,40,1,9,149,3,0
高雄市甲仙區,106,10月,6,2,0,43,1,12,208,0,0
高雄市甲仙區,106,11月,1,2,0,43,0,12,208,0,0
高雄市甲仙區,106,12月,2,2,0,43,0,12,208,1,0
高雄市甲仙區,106,1月,4,2,0,43,0,12,208,1,0
高雄市甲仙區,106,4月,2,2,0,43,0,12,208,1,0
高雄市甲仙區,106,7月,3,2,0,43,0,12,208,0,0
高雄市甲仙區,106,8月,1,2,0,43,1,12,208,0,0
高雄市美濃區,106,10月,36,5,0,70,1,37,155,16,0
高雄市美濃區,106,11月,9,5,0,70,2,37,155,17,0
高雄市美濃區,106,12月,7,5,0,70,0,37,155,23,0
高雄市美濃區,106,1月,6,5,0,70,2,37,155,39,0
高雄市美濃區,106,2月,8,5,0,70,1,37,155,23,0
高雄市美濃區,106,3月,12,5,1,70,6,37,155,18,0
高雄市美濃區,106,4月,45,5,0,70,1,37,155,21,1
高雄市美濃區,106,5月,23,5,1,70,0,37,155,24,0
高雄市美濃區,106,6月,40,5,0,70,1,37,155,18,0
高雄市美濃區,106,7月,37,5,0,70,5,37,155,24,0
高雄市美濃區,106,8月,15,5,0,70,2,37,155,15,0
高雄市美濃區,106,9月,41,5,1,70,1,37,155,17,0
高雄市苓雅區,106,10月,23,6,0,43,5,42,203,189,1
高雄市苓雅區,106,11月,46,6,1,43,4,42,203,227,0
高雄市苓雅區,106,12月,27,6,1,43,0,42,203,241,1
高雄市苓雅區,106,1月,38,6,0,43,4,42,203,363,1
高雄市苓雅區,106,2月,22,6,0,43,6,42,203,309,0
高雄市苓雅區,106,3月,25,6,1,43,2,42,203,287,1
高雄市苓雅區,106,4月,86,6,1,43,2,42,203,298,1
高雄市苓雅區,106,5月,83,6,1,43,4,42,203,352,0
高雄市苓雅區,106,6月,103,6,1,43,9,42,203,281,0
高雄市苓雅區,106,7月,55,6,1,43,11,42,203,323,1
高雄市苓雅區,106,8月,30,6,1,43,11,42,203,287,1
高雄市苓雅區,106,9月,38,6,0,43,9,42,203,192,0
高雄市茂林區,106,11月,2,3,0,0,0,9,317,0,0
高雄市茂林區,106,1月,2,3,0,0,0,9,317,1,0
高雄市茂林區,106,2月,4,3,0,0,0,9,317,0,0
高雄市茂林區,106,7月,1,3,0,0,0,9,317,0,0
高雄市茂林區,106,9月,82,3,0,0,0,9,317,0,0
高雄市茄萣區,106,10月,12,1,1,26,0,16,141,15,0
高雄市茄萣區,106,11月,1,1,0,26,0,16,141,21,1
高雄市茄萣區,106,12月,36,1,0,26,0,16,141,28,0
高雄市茄萣區,106,1月,8,1,0,26,1,16,141,21,0
高雄市茄萣區,106,2月,12,1,1,26,1,16,141,15,0
高雄市茄萣區,106,3月,18,1,1,26,0,16,141,28,0
高雄市茄萣區,106,4月,21,1,0,26,0,16,141,23,0
高雄市茄萣區,106,5月,16,1,0,26,0,16,141,19,0
高雄市茄萣區,106,7月,9,1,0,26,3,16,141,25,1
高雄市茄萣區,106,8月,11,1,0,26,0,16,141,23,0
高雄市茄萣區,106,9月,8,1,0,26,0,16,141,18,0
高雄市路竹區,106,10月,18,3,1,46,1,28,160,69,1
高雄市路竹區,106,11月,7,3,0,46,1,28,160,63,1
高雄市路竹區,106,12月,17,3,0,46,1,28,160,118,0
高雄市路竹區,106,1月,10,3,0,46,1,28,160,76,0
高雄市路竹區,106,2月,13,3,0,46,0,28,160,69,0
高雄市路竹區,106,3月,8,3,1,46,4,28,160,85,0
高雄市路竹區,106,4月,41,3,0,46,1,28,160,75,1
高雄市路竹區,106,5月,31,3,0,46,1,28,160,93,0
高雄市路竹區,106,6月,19,3,0,46,1,28,160,77,0
高雄市路竹區,106,7月,12,3,1,46,1,28,160,66,0
高雄市路竹區,106,8月,10,3,1,46,1,28,160,81,1
高雄市路竹區,106,9月,7,3,0,46,0,28,160,70,0
高雄市阿蓮區,106,10月,12,1,1,52,0,12,209,17,0
高雄市阿蓮區,106,11月,20,1,0,52,3,12,209,27,0
高雄市阿蓮區,106,12月,4,1,0,52,0,12,209,29,0
高雄市阿蓮區,106,1月,17,1,0,52,1,12,209,31,0
高雄市阿蓮區,106,2月,13,1,0,52,0,12,209,31,0
高雄市阿蓮區,106,3月,4,1,1,52,0,12,209,29,0
高雄市阿蓮區,106,4月,36,1,0,52,0,12,209,26,0
高雄市阿蓮區,106,5月,18,1,0,52,0,12,209,43,0
高雄市阿蓮區,106,6月,14,1,0,52,1,12,209,35,0
高雄市阿蓮區,106,7月,10,1,0,52,0,12,209,36,0
高雄市阿蓮區,106,8月,10,1,0,52,1,12,209,24,0
高雄市阿蓮區,106,9月,11,1,0,52,0,12,209,42,0
高雄市鳥松區,106,10月,12,3,0,34,4,13,218,84,0
高雄市鳥松區,106,11月,9,3,0,34,0,13,218,96,0
高雄市鳥松區,106,12月,7,3,1,34,1,13,218,25,0
高雄市鳥松區,106,1月,6,3,0,34,1,13,218,141,0
高雄市鳥松區,106,2月,17,3,0,34,4,13,218,108,1
高雄市鳥松區,106,3月,14,3,0,34,5,13,218,125,0
高雄市鳥松區,106,4月,9,3,0,34,1,13,218,102,0
高雄市鳥松區,106,5月,18,3,1,34,4,13,218,126,0
高雄市鳥松區,106,7月,3,3,0,34,1,13,218,99,0
高雄市鳥松區,106,8月,12,3,0,34,2,13,218,95,0
高雄市鳥松區,106,9月,8,3,0,34,2,13,218,80,0
高雄市鳳山區,106,10月,24,10,1,98,10,96,254,386,1
高雄市鳳山區,106,11月,33,10,0,98,4,96,254,357,1
高雄市鳳山區,106,12月,63,10,1,98,3,96,254,419,0
高雄市鳳山區,106,1月,51,10,0,98,3,96,254,651,1
高雄市鳳山區,106,2月,58,10,0,98,7,96,254,530,1
高雄市鳳山區,106,3月,60,10,1,98,4,96,254,640,1
高雄市鳳山區,106,4月,126,10,0,98,7,96,254,566,1
高雄市鳳山區,106,5月,84,10,1,98,11,96,254,603,1
高雄市鳳山區,106,6月,71,10,0,98,10,96,254,517,1
高雄市鳳山區,106,7月,67,10,1,98,11,96,254,539,0
高雄市鳳山區,106,8月,54,10,0,98,9,96,254,422,1
高雄市鳳山區,106,9月,124,10,1,98,12,96,254,371,0
高雄市鹽埕區,106,10月,7,4,0,16,1,12,241,28,0
高雄市鹽埕區,106,12月,11,4,0,16,1,12,241,34,0
高雄市鹽埕區,106,1月,8,4,1,16,0,12,241,31,0
高雄市鹽埕區,106,2月,12,4,0,16,0,12,241,31,0
高雄市鹽埕區,106,3月,13,4,1,16,1,12,241,37,0
高雄市鹽埕區,106,4月,5,4,1,16,0,12,241,39,0
高雄市鹽埕區,106,5月,6,4,1,16,1,12,241,38,0
高雄市鹽埕區,106,6月,9,4,1,16,0,12,241,30,0
高雄市鹽埕區,106,7月,8,4,0,16,3,12,241,29,0
高雄市鹽埕區,106,8月,7,4,0,16,1,12,241,37,0
高雄市鹽埕區,106,9月,10,4,0,16,0,12,241,26,0
高雄市鼓山區,106,10月,27,5,1,37,0,34,244,145,1
高雄市鼓山區,106,11月,17,5,0,37,3,34,244,164,1
高雄市鼓山區,106,12月,25,5,1,37,1,34,244,184,0
高雄市鼓山區,106,1月,20,5,0,37,0,34,244,177,0
高雄市鼓山區,106,2月,13,5,0,37,2,34,244,146,1
高雄市鼓山區,106,3月,13,5,1,37,3,34,244,159,0
高雄市鼓山區,106,4月,59,5,1,37,0,34,244,157,1
高雄市鼓山區,106,5月,73,5,1,37,3,34,244,181,0
高雄市鼓山區,106,6月,52,5,1,37,3,34,244,200,0
高雄市鼓山區,106,7月,58,5,1,37,4,34,244,167,0
高雄市鼓山區,106,8月,35,5,1,37,1,34,244,161,0
高雄市鼓山區,106,9月,17,5,0,37,1,34,244,164,0
高雄市永安區,106,5月,0,1,1,18,1,12,163,9,0
高雄市前金區,106,2月,0,3,1,17,1,10,246,52,0
高雄市茄萣區,106,6月,0,1,1,26,0,16,141,16,0
高雄市旗山區,106,12月,0,7,1,90,3,29,202,34,0
高雄市彌陀區,106,6月,0,2,1,40,0,12,224,9,0
新北市三峽區,106,10月,17,9,0,62,5,51,257,95,1
新北市三峽區,106,11月,20,9,0,62,3,51,257,82,0
新北市三峽區,106,12月,7,9,0,62,2,51,257,114,1
新北市三峽區,106,1月,16,9,0,62,7,51,257,117,0
新北市三峽區,106,2月,4,9,0,62,4,51,257,90,0
新北市三峽區,106,3月,24,9,0,62,1,51,257,99,1
新北市三峽區,106,4月,57,9,0,62,7,51,257,93,1
新北市三峽區,106,5月,67,9,0,62,3,51,257,98,0
新北市三峽區,106,6月,43,9,0,62,6,51,257,89,0
新北市三峽區,106,7月,28,9,0,62,5,51,257,113,1
新北市三峽區,106,8月,40,9,0,62,4,51,257,113,0
新北市三峽區,106,9月,16,9,0,62,1,51,257,91,0
新北市三芝區,106,10月,3,3,0,25,0,12,265,11,0
新北市三芝區,106,11月,7,3,0,25,1,12,265,13,0
新北市三芝區,106,12月,4,3,0,25,0,12,265,10,0
新北市三芝區,106,2月,2,3,0,25,0,12,265,10,0
新北市三芝區,106,3月,9,3,0,25,0,12,265,8,0
新北市三芝區,106,4月,14,3,0,25,0,12,265,2,0
新北市三芝區,106,5月,18,3,0,25,0,12,265,6,0
新北市三芝區,106,6月,6,3,0,25,2,12,265,9,1
新北市三芝區,106,7月,2,3,0,25,1,12,265,12,0
新北市三芝區,106,8月,6,3,0,25,0,12,265,14,0
新北市三芝區,106,9月,5,3,0,25,0,12,265,12,0
新北市三重區,106,10月,131,12,1,47,23,65,253,296,1
新北市三重區,106,11月,144,12,0,47,24,65,253,302,1
新北市三重區,106,12月,118,12,0,47,16,65,253,439,1
新北市三重區,106,1月,44,12,0,47,21,65,253,251,1
新北市三重區,106,2月,60,12,0,47,17,65,253,234,1
新北市三重區,106,3月,70,12,0,47,16,65,253,262,1
新北市三重區,106,4月,276,12,0,47,27,65,253,239,1
新北市三重區,106,5月,294,12,0,47,22,65,253,256,1
新北市三重區,106,6月,262,12,0,47,13,65,253,262,1
新北市三重區,106,7月,174,12,0,47,36,65,253,271,1
新北市三重區,106,8月,132,12,0,47,19,65,253,283,0
新北市三重區,106,9月,151,12,1,47,11,65,253,270,1
新北市中和區,106,10月,80,10,0,62,15,43,219,296,1
新北市中和區,106,11月,107,10,0,62,16,43,219,320,1
新北市中和區,106,12月,63,10,1,62,10,43,219,357,0
新北市中和區,106,1月,28,10,0,62,9,43,219,379,1
新北市中和區,106,2月,41,10,0,62,13,43,219,342,1
新北市中和區,106,3月,105,10,0,62,14,43,219,315,0
新北市中和區,106,4月,249,10,0,62,18,43,219,266,1
新北市中和區,106,5月,306,10,0,62,9,43,219,350,1
新北市中和區,106,6月,206,10,0,62,6,43,219,367,0
新北市中和區,106,7月,166,10,0,62,18,43,219,332,1
新北市中和區,106,8月,135,10,0,62,25,43,219,284,1
新北市中和區,106,9月,107,10,0,62,16,43,219,253,0
新北市五股區,106,10月,33,4,0,42,5,15,272,115,0
新北市五股區,106,11月,38,4,0,42,4,15,272,126,0
新北市五股區,106,12月,12,4,0,42,4,15,272,143,1
新北市五股區,106,1月,1,4,0,42,6,15,272,144,0
新北市五股區,106,2月,8,4,0,42,2,15,272,102,0
新北市五股區,106,3月,28,4,0,42,2,15,272,132,0
新北市五股區,106,4月,70,4,0,42,6,15,272,130,0
新北市五股區,106,5月,87,4,0,42,2,15,272,122,1
新北市五股區,106,6月,111,4,0,42,5,15,272,93,0
新北市五股區,106,7月,45,4,0,42,3,15,272,137,1
新北市五股區,106,8月,29,4,0,42,2,15,272,138,0
新北市五股區,106,9月,32,4,0,42,0,15,272,112,1
新北市八里區,106,10月,4,2,0,23,1,19,232,37,0
新北市八里區,106,11月,10,2,0,23,4,19,232,25,0
新北市八里區,106,12月,11,2,0,23,3,19,232,42,1
新北市八里區,106,1月,6,2,0,23,7,19,232,38,1
新北市八里區,106,2月,2,2,0,23,0,19,232,21,0
新北市八里區,106,3月,2,2,0,23,2,19,232,35,0
新北市八里區,106,4月,11,2,0,23,2,19,232,32,1
新北市八里區,106,5月,34,2,0,23,2,19,232,44,1
新北市八里區,106,6月,26,2,0,23,5,19,232,32,0
新北市八里區,106,7月,19,2,0,23,3,19,232,42,0
新北市八里區,106,8月,15,2,0,23,3,19,232,44,1
新北市八里區,106,9月,14,2,0,23,3,19,232,37,0
新北市土城區,106,10月,44,6,0,36,14,28,256,119,1
新北市土城區,106,11月,69,6,0,36,7,28,256,177,1
新北市土城區,106,12月,52,6,0,36,7,28,256,137,1
新北市土城區,106,1月,12,6,0,36,11,28,256,183,1
新北市土城區,106,2月,23,6,0,36,11,28,256,176,1
新北市土城區,106,3月,74,6,0,36,7,28,256,187,0
新北市土城區,106,4月,164,6,0,36,13,28,256,138,1
新北市土城區,106,5月,176,6,0,36,6,28,256,190,1
新北市土城區,106,6月,137,6,0,36,3,28,256,158,0
新北市土城區,106,7月,104,6,0,36,4,28,256,185,1
新北市土城區,106,8月,70,6,0,36,12,28,256,199,1
新北市土城區,106,9月,67,6,0,36,3,28,256,152,1
新北市坪林區,106,7月,1,5,0,17,0,6,184,16,0
新北市平溪區,106,11月,4,3,0,10,0,12,145,1,0
新北市平溪區,106,12月,1,3,0,10,0,12,145,2,0
新北市平溪區,106,6月,3,3,0,10,0,12,145,3,0
新北市平溪區,106,7月,2,3,0,10,0,12,145,8,0
新北市平溪區,106,8月,2,3,0,10,0,12,145,6,0
新北市平溪區,106,9月,1,3,0,10,0,12,145,3,0
新北市新店區,106,10月,29,11,0,100,5,57,205,212,1
新北市新店區,106,11月,54,11,0,100,5,57,205,196,0
新北市新店區,106,12月,33,11,0,100,4,57,205,226,1
新北市新店區,106,1月,20,11,0,100,6,57,205,227,1
新北市新店區,106,2月,37,11,0,100,10,57,205,166,1
新北市新店區,106,3月,84,11,0,100,10,57,205,179,1
新北市新店區,106,4月,142,11,0,100,17,57,205,172,1
新北市新店區,106,5月,114,11,0,100,12,57,205,169,0
新北市新店區,106,6月,75,11,0,100,5,57,205,223,1
新北市新店區,106,7月,70,11,0,100,5,57,205,258,1
新北市新店區,106,8月,50,11,0,100,0,57,205,230,1
新北市新店區,106,9月,35,11,0,100,0,57,205,189,0
新北市新莊區,106,10月,68,9,0,53,12,66,247,169,1
新北市新莊區,106,11月,63,9,0,53,13,66,247,213,0
新北市新莊區,106,12月,50,9,0,53,9,66,247,234,0
新北市新莊區,106,1月,15,9,0,53,16,66,247,152,1
新北市新莊區,106,2月,24,9,0,53,9,66,247,121,0
新北市新莊區,106,3月,135,9,0,53,19,66,247,140,1
新北市新莊區,106,4月,180,9,0,53,18,66,247,126,1
新北市新莊區,106,5月,215,9,0,53,3,66,247,169,1
新北市新莊區,106,6月,143,9,0,53,11,66,247,122,0
新北市新莊區,106,7月,108,9,0,53,11,66,247,146,1
新北市新莊區,106,8月,52,9,0,53,10,66,247,160,1
新北市新莊區,106,9月,79,9,0,53,5,66,247,150,0
新北市板橋區,106,10月,152,13,0,70,28,81,243,359,1
新北市板橋區,106,11月,142,13,0,70,25,81,243,423,1
新北市板橋區,106,12月,84,13,1,70,16,81,243,448,1
新北市板橋區,106,1月,23,13,1,70,14,81,243,357,1
新北市板橋區,106,2月,43,13,1,70,19,81,243,319,1
新北市板橋區,106,3月,166,13,1,70,18,81,243,439,1
新北市板橋區,106,4月,401,13,1,70,27,81,243,358,1
新北市板橋區,106,5月,411,13,1,70,18,81,243,368,1
新北市板橋區,106,6月,350,13,1,70,15,81,243,326,1
新北市板橋區,106,7月,242,13,1,70,23,81,243,346,1
新北市板橋區,106,8月,205,13,0,70,24,81,243,406,1
新北市板橋區,106,9月,168,13,1,70,9,81,243,381,1
新北市林口區,106,10月,8,6,0,16,4,36,252,50,1
新北市林口區,106,11月,18,6,0,16,2,36,252,48,1
新北市林口區,106,12月,7,6,1,16,0,36,252,56,0
新北市林口區,106,1月,4,6,0,16,3,36,252,62,1
新北市林口區,106,2月,2,6,0,16,3,36,252,35,0
新北市林口區,106,3月,12,6,0,16,1,36,252,48,0
新北市林口區,106,4月,24,6,0,16,2,36,252,39,1
新北市林口區,106,5月,32,6,0,16,4,36,252,54,0
新北市林口區,106,6月,42,6,0,16,4,36,252,45,0
新北市林口區,106,7月,12,6,0,16,4,36,252,53,1
新北市林口區,106,8月,10,6,0,16,6,36,252,61,0
新北市林口區,106,9月,11,6,0,16,4,36,252,56,1
新北市樹林區,106,10月,43,6,0,48,10,47,259,73,0
新北市樹林區,106,11月,43,6,0,48,6,47,259,116,1
新北市樹林區,106,12月,17,6,0,48,3,47,259,114,0
新北市樹林區,106,1月,6,6,0,48,10,47,259,60,1
新北市樹林區,106,2月,23,6,0,48,4,47,259,42,1
新北市樹林區,106,3月,33,6,0,48,4,47,259,62,1
新北市樹林區,106,4月,78,6,0,48,6,47,259,47,1
新北市樹林區,106,5月,113,6,0,48,6,47,259,84,1
新北市樹林區,106,6月,69,6,0,48,6,47,259,62,1
新北市樹林區,106,7月,79,6,0,48,5,47,259,115,1
新北市樹林區,106,8月,37,6,0,48,6,47,259,93,1
新北市樹林區,106,9月,45,6,0,48,7,47,259,103,0
新北市永和區,106,10月,42,7,0,26,12,33,223,173,1
新北市永和區,106,11月,30,7,0,26,12,33,223,152,0
新北市永和區,106,12月,21,7,0,26,5,33,223,244,1
新北市永和區,106,1月,16,7,0,26,5,33,223,228,1
新北市永和區,106,2月,23,7,0,26,5,33,223,155,0
新北市永和區,106,3月,45,7,1,26,6,33,223,196,1
新北市永和區,106,4月,107,7,0,26,8,33,223,151,0
新北市永和區,106,5月,96,7,0,26,2,33,223,216,1
新北市永和區,106,6月,79,7,0,26,8,33,223,172,0
新北市永和區,106,7月,52,7,0,26,3,33,223,237,1
新北市永和區,106,8月,59,7,0,26,4,33,223,211,0
新北市永和區,106,9月,30,7,0,26,8,33,223,180,1
新北市汐止區,106,10月,22,8,0,70,9,46,236,136,1
新北市汐止區,106,11月,41,8,1,70,8,46,236,114,1
新北市汐止區,106,12月,10,8,1,70,0,46,236,143,1
新北市汐止區,106,1月,6,8,0,70,2,46,236,125,1
新北市汐止區,106,2月,16,8,0,70,4,46,236,106,0
新北市汐止區,106,3月,48,8,0,70,2,46,236,123,1
新北市汐止區,106,4月,71,8,1,70,13,46,236,97,1
新北市汐止區,106,5月,107,8,0,70,5,46,236,111,0
新北市汐止區,106,6月,57,8,0,70,8,46,236,103,1
新北市汐止區,106,7月,50,8,0,70,11,46,236,134,1
新北市汐止區,106,8月,61,8,1,70,3,46,236,126,1
新北市汐止區,106,9月,56,8,0,70,5,46,236,110,1
新北市泰山區,106,10月,18,2,0,21,3,19,245,86,0
新北市泰山區,106,11月,4,2,0,21,2,19,245,85,1
新北市泰山區,106,12月,5,2,0,21,0,19,245,83,0
新北市泰山區,106,1月,7,2,0,21,6,19,245,88,1
新北市泰山區,106,2月,6,2,0,21,1,19,245,66,1
新北市泰山區,106,3月,11,2,0,21,2,19,245,79,0
新北市泰山區,106,4月,11,2,0,21,5,19,245,64,1
新北市泰山區,106,5月,30,2,0,21,2,19,245,83,1
新北市泰山區,106,6月,23,2,0,21,2,19,245,107,0
新北市泰山區,106,7月,22,2,0,21,5,19,245,76,0
新北市泰山區,106,8月,9,2,0,21,4,19,245,90,1
新北市泰山區,106,9月,13,2,0,21,2,19,245,66,0
新北市淡水區,106,10月,12,8,0,60,5,51,243,137,0
新北市淡水區,106,11月,28,8,0,60,6,51,243,163,1
新北市淡水區,106,12月,12,8,1,60,3,51,243,168,0
新北市淡水區,106,1月,5,8,0,60,6,51,243,81,1
新北市淡水區,106,2月,7,8,0,60,4,51,243,69,1
新北市淡水區,106,3月,11,8,0,60,3,51,243,84,1
新北市淡水區,106,4月,56,8,1,60,4,51,243,94,0
新北市淡水區,106,5月,57,8,0,60,2,51,243,110,0
新北市淡水區,106,6月,45,8,0,60,4,51,243,71,0
新北市淡水區,106,7月,34,8,0,60,2,51,243,131,1
新北市淡水區,106,8月,29,8,0,60,6,51,243,125,1
新北市淡水區,106,9月,26,8,0,60,5,51,243,147,0
新北市深坑區,106,10月,6,1,0,17,0,6,275,9,0
新北市深坑區,106,11月,3,1,0,17,0,6,275,7,0
新北市深坑區,106,12月,3,1,0,17,0,6,275,12,0
新北市深坑區,106,1月,1,1,0,17,1,6,275,9,0
新北市深坑區,106,3月,9,1,0,17,2,6,275,18,1
新北市深坑區,106,4月,20,1,0,17,1,6,275,7,0
新北市深坑區,106,5月,10,1,0,17,0,6,275,11,0
新北市深坑區,106,6月,10,1,0,17,0,6,275,8,0
新北市深坑區,106,7月,8,1,0,17,0,6,275,5,0
新北市深坑區,106,8月,4,1,0,17,0,6,275,9,0
新北市深坑區,106,9月,5,1,0,17,0,6,275,3,0
新北市烏來區,106,10月,1,5,0,5,0,12,371,1,0
新北市烏來區,106,2月,3,5,0,5,0,12,371,0,0
新北市烏來區,106,3月,7,5,0,5,1,12,371,0,0
新北市烏來區,106,4月,5,5,0,5,0,12,371,1,0
新北市烏來區,106,7月,7,5,0,5,0,12,371,2,0
新北市烏來區,106,8月,1,5,0,5,0,12,371,2,0
新北市烏來區,106,9月,3,5,0,5,0,12,371,0,0
新北市瑞芳區,106,10月,11,10,0,57,2,41,262,26,0
新北市瑞芳區,106,11月,13,10,1,57,1,41,262,15,0
新北市瑞芳區,106,12月,12,10,1,57,0,41,262,18,0
新北市瑞芳區,106,1月,2,10,0,57,0,41,262,15,0
新北市瑞芳區,106,2月,5,10,0,57,0,41,262,18,0
新北市瑞芳區,106,3月,32,10,0,57,1,41,262,14,0
新北市瑞芳區,106,4月,37,10,0,57,1,41,262,19,0
新北市瑞芳區,106,5月,38,10,0,57,2,41,262,14,0
新北市瑞芳區,106,6月,29,10,0,57,0,41,262,24,0
新北市瑞芳區,106,7月,18,10,0,57,0,41,262,24,0
新北市瑞芳區,106,8月,20,10,0,57,0,41,262,23,0
新北市瑞芳區,106,9月,8,10,0,57,0,41,262,20,0
新北市石碇區,106,10月,1,5,0,38,1,13,205,20,0
新北市石碇區,106,3月,2,5,0,38,0,13,205,8,0
新北市石碇區,106,5月,2,5,0,38,0,13,205,9,0
新北市石碇區,106,6月,1,5,0,38,0,13,205,12,0
新北市石碇區,106,7月,1,5,0,38,0,13,205,15,0
新北市石碇區,106,8月,2,5,0,38,0,13,205,21,0
新北市石門區,106,10月,1,3,0,18,0,12,111,2,0
新北市石門區,106,11月,5,3,0,18,0,12,111,2,0
新北市石門區,106,12月,4,3,0,18,1,12,111,0,0
新北市石門區,106,1月,1,3,0,18,0,12,111,5,0
新北市石門區,106,4月,2,3,0,18,0,12,111,5,0
新北市石門區,106,5月,3,3,1,18,1,12,111,2,0
新北市石門區,106,6月,4,3,0,18,0,12,111,4,0
新北市石門區,106,7月,2,3,0,18,1,12,111,5,0
新北市石門區,106,8月,8,3,0,18,0,12,111,6,0
新北市石門區,106,9月,2,3,0,18,0,12,111,1,0
新北市萬里區,106,10月,9,4,0,42,0,19,270,8,0
新北市萬里區,106,11月,3,4,0,42,0,19,270,6,0
新北市萬里區,106,1月,2,4,0,42,1,19,270,4,0
新北市萬里區,106,2月,3,4,0,42,1,19,270,10,0
新北市萬里區,106,3月,6,4,0,42,0,19,270,6,0
新北市萬里區,106,4月,6,4,0,42,0,19,270,5,0
新北市萬里區,106,5月,10,4,0,42,2,19,270,10,0
新北市萬里區,106,6月,7,4,0,42,0,19,270,7,0
新北市萬里區,106,7月,2,4,0,42,1,19,270,14,0
新北市萬里區,106,8月,4,4,0,42,0,19,270,7,0
新北市萬里區,106,9月,3,4,0,42,0,19,270,3,0
新北市蘆洲區,106,10月,47,5,0,18,7,23,246,146,1
新北市蘆洲區,106,11月,41,5,0,18,3,23,246,136,1
新北市蘆洲區,106,12月,36,5,0,18,3,23,246,137,1
新北市蘆洲區,106,1月,11,5,0,18,3,23,246,168,1
新北市蘆洲區,106,2月,11,5,0,18,3,23,246,127,0
新北市蘆洲區,106,3月,43,5,0,18,4,23,246,134,1
新北市蘆洲區,106,4月,111,5,0,18,7,23,246,118,1
新北市蘆洲區,106,5月,101,5,0,18,9,23,246,130,1
新北市蘆洲區,106,6月,102,5,0,18,6,23,246,109,1
新北市蘆洲區,106,7月,66,5,0,18,12,23,246,129,1
新北市蘆洲區,106,8月,58,5,0,18,3,23,246,161,0
新北市蘆洲區,106,9月,58,5,0,18,3,23,246,121,0
新北市貢寮區,106,10月,1,6,0,24,0,24,203,0,0
新北市貢寮區,106,3月,4,6,0,24,0,24,203,1,0
新北市貢寮區,106,4月,1,6,0,24,0,24,203,4,0
新北市貢寮區,106,5月,11,6,0,24,0,24,203,6,0
新北市貢寮區,106,6月,1,6,0,24,0,24,203,2,0
新北市貢寮區,106,9月,5,6,0,24,0,24,203,3,0
新北市金山區,106,10月,5,4,0,23,0,13,266,9,0
新北市金山區,106,11月,7,4,0,23,1,13,266,8,0
新北市金山區,106,12月,1,4,1,23,0,13,266,10,0
新北市金山區,106,1月,2,4,0,23,0,13,266,6,0
新北市金山區,106,2月,4,4,0,23,1,13,266,8,0
新北市金山區,106,4月,7,4,0,23,1,13,266,8,0
新北市金山區,106,5月,10,4,0,23,0,13,266,8,1
新北市金山區,106,6月,4,4,0,23,0,13,266,9,0
新北市金山區,106,7月,5,4,0,23,0,13,266,19,0
新北市金山區,106,8月,3,4,0,23,0,13,266,10,0
新北市金山區,106,9月,2,4,0,23,0,13,266,13,0
新北市雙溪區,106,4月,3,5,0,18,0,13,131,1,0
新北市雙溪區,106,5月,2,5,0,18,0,13,131,6,0
新北市雙溪區,106,6月,3,5,0,18,0,13,131,3,0
新北市鶯歌區,106,10月,12,4,0,26,5,31,271,78,0
新北市鶯歌區,106,11月,10,4,0,26,3,31,271,92,1
新北市鶯歌區,106,12月,3,4,0,26,4,31,271,80,0
新北市鶯歌區,106,1月,4,4,0,26,8,31,271,91,1
