縣市區,年,月,毒品案件數,派出所數量,集會次數,宗教團體數,竊盜案件數,學校數,離婚筆數,交通案件數,青少年犯罪數(竊盜)
高雄市永安區,105,11月,2,1,0,18,0,4,191,14,0
高雄市湖內區,105,10月,3,3,0,28,0,6,186,39,0
高雄市湖內區,105,11月,9,3,0,28,0,6,186,26,0
高雄市燕巢區,105,10月,6,3,0,55,8,7,211,75,0
高雄市燕巢區,105,11月,3,3,0,55,3,7,211,75,0
高雄市燕巢區,105,12月,12,3,0,55,4,7,211,24,0
高雄市田寮區,105,12月,3,4,0,40,0,3,224,2,0
高雄市甲仙區,105,10月,1,2,0,43,0,4,205,1,0
高雄市甲仙區,105,12月,1,2,0,43,0,4,205,0,0
高雄市美濃區,105,10月,16,5,0,70,1,13,202,26,0
高雄市美濃區,105,11月,6,5,0,70,5,13,202,24,0
高雄市美濃區,105,12月,16,5,0,70,0,13,202,17,0
高雄市苓雅區,105,10月,33,6,0,43,8,18,197,291,0
高雄市苓雅區,105,11月,46,6,0,43,7,18,197,287,0
高雄市苓雅區,105,12月,24,6,0,43,1,18,197,131,0
高雄市茄萣區,105,10月,9,1,0,26,1,6,167,17,0
高雄市茄萣區,105,11月,6,1,0,26,1,6,167,24,0
高雄市茄萣區,105,12月,9,1,0,26,0,6,167,9,0
高雄市路竹區,105,10月,17,3,0,46,1,10,139,87,0
高雄市路竹區,105,11月,14,3,0,46,0,10,139,68,0
高雄市路竹區,105,12月,5,3,0,46,2,10,139,32,1
高雄市阿蓮區,105,10月,7,1,0,52,2,4,217,23,1
高雄市阿蓮區,105,11月,3,1,0,52,0,4,217,33,0
高雄市阿蓮區,105,12月,4,1,0,52,0,4,217,7,0
高雄市鳥松區,105,10月,19,3,0,34,1,5,198,107,0
高雄市鳥松區,105,11月,15,3,0,34,2,5,198,129,0
高雄市鳥松區,105,12月,3,3,0,34,0,5,198,46,0
高雄市鳳山區,105,10月,47,10,0,98,14,35,241,520,1
高雄市鳳山區,105,11月,56,10,0,98,6,35,241,559,1
高雄市鳳山區,105,12月,34,10,0,98,2,35,241,253,1
高雄市鹽埕區,105,10月,5,4,0,16,1,4,297,44,0
高雄市鹽埕區,105,11月,8,4,0,16,0,4,297,35,1
高雄市鹽埕區,105,12月,8,4,0,16,1,4,297,12,0
高雄市鼓山區,105,10月,32,5,0,37,2,14,258,164,0
高雄市鼓山區,105,11月,45,5,0,37,3,14,258,187,1
高雄市鼓山區,105,12月,25,5,0,37,2,14,258,75,1
新北市三峽區,105,10月,33,9,0,62,15,19,314,94,1
新北市三峽區,105,11月,23,9,0,62,5,19,314,92,0
新北市三峽區,105,12月,20,9,0,62,5,19,314,52,0
新北市三芝區,105,10月,8,3,0,25,1,4,166,11,0
新北市三芝區,105,11月,9,3,0,25,0,4,166,6,1
新北市三芝區,105,12月,13,3,0,25,1,4,166,1,0
新北市三重區,105,10月,152,12,1,47,25,27,238,233,1
新北市三重區,105,11月,155,12,1,47,23,27,238,183,1
新北市三重區,105,12月,145,12,0,47,12,27,238,106,1
新北市中和區,105,10月,129,10,1,62,20,17,235,307,0
新北市中和區,105,11月,97,10,0,62,8,17,235,347,1
新北市中和區,105,12月,126,10,0,62,11,17,235,175,1
新北市五股區,105,10月,27,4,0,42,5,5,281,104,1
新北市五股區,105,11月,35,4,0,42,3,5,281,112,0
新北市五股區,105,12月,29,4,0,42,4,5,281,49,0
新北市八里區,105,10月,7,2,0,23,2,7,272,45,0
新北市八里區,105,11月,14,2,0,23,1,7,272,38,0
新北市八里區,105,12月,16,2,0,23,1,7,272,21,0
新北市土城區,105,10月,72,6,0,36,7,12,269,150,1
新北市土城區,105,11月,77,6,0,36,12,12,269,207,1
新北市土城區,105,12月,62,6,0,36,4,12,269,82,1
新北市平溪區,105,10月,3,3,0,10,0,4,183,1,0
新北市平溪區,105,11月,2,3,0,10,0,4,183,6,0
新北市平溪區,105,12月,3,3,0,10,0,4,183,2,0
新北市新店區,105,10月,83,11,0,100,8,25,204,212,1
新北市新店區,105,11月,50,11,0,100,9,25,204,167,1
新北市新店區,105,12月,54,11,1,100,9,25,204,87,1
新北市新莊區,105,10月,118,9,0,53,13,24,250,237,1
新北市新莊區,105,11月,113,9,0,53,11,24,250,178,1
新北市新莊區,105,12月,102,9,0,53,13,24,250,103,0
新北市板橋區,105,10月,182,13,1,70,28,31,227,336,1
新北市板橋區,105,11月,138,13,1,70,11,31,227,363,1
新北市板橋區,105,12月,149,13,1,70,16,31,227,197,1
新北市林口區,105,10月,14,6,0,16,9,13,252,70,0
新北市林口區,105,11月,22,6,0,16,4,13,252,60,0
新北市林口區,105,12月,12,6,0,16,4,13,252,15,1
新北市樹林區,105,10月,43,6,0,48,5,17,270,107,1
新北市樹林區,105,11月,38,6,0,48,5,17,270,46,1
新北市樹林區,105,12月,35,6,0,48,4,17,270,35,1
新北市永和區,105,10月,47,7,0,26,5,13,211,181,1
新北市永和區,105,11月,40,7,0,26,4,13,211,208,1
新北市永和區,105,12月,33,7,0,26,7,13,211,108,0
新北市汐止區,105,10月,30,8,0,70,8,18,277,107,0
新北市汐止區,105,11月,37,8,0,70,10,18,277,155,0
新北市汐止區,105,12月,40,8,1,70,10,18,277,64,0
新北市泰山區,105,10月,10,2,0,21,5,7,216,98,1
新北市泰山區,105,11月,10,2,0,21,1,7,216,93,0
新北市泰山區,105,12月,13,2,0,21,5,7,216,39,0
新北市淡水區,105,10月,16,8,0,60,7,19,217,112,1
新北市淡水區,105,11月,31,8,0,60,7,19,217,90,1
新北市淡水區,105,12月,24,8,0,60,6,19,217,73,1
新北市深坑區,105,10月,1,1,0,17,1,2,241,12,0
新北市深坑區,105,11月,3,1,0,17,2,2,241,15,0
新北市深坑區,105,12月,10,1,0,17,2,2,241,7,0
新北市烏來區,105,10月,4,5,0,5,0,4,275,0,0
新北市烏來區,105,11月,3,5,0,5,0,4,275,0,0
新北市烏來區,105,12月,1,5,0,5,0,4,275,1,0
新北市瑞芳區,105,10月,27,10,0,57,1,15,260,20,1
新北市瑞芳區,105,11月,34,10,0,57,3,15,260,21,0
新北市瑞芳區,105,12月,30,10,0,57,11,15,260,8,0
新北市石碇區,105,10月,2,5,0,38,1,5,204,12,0
新北市石碇區,105,11月,2,5,0,38,0,5,204,16,0
新北市石門區,105,10月,1,3,0,18,0,4,197,4,0
新北市石門區,105,11月,3,3,0,18,0,4,197,5,0
新北市石門區,105,12月,5,3,0,18,0,4,197,1,0
新北市萬里區,105,10月,7,4,0,42,1,7,206,8,0
新北市萬里區,105,11月,9,4,0,42,1,7,206,17,0
新北市蘆洲區,105,10月,69,5,0,18,6,9,258,121,1
新北市蘆洲區,105,11月,50,5,0,18,4,9,258,133,1
新北市蘆洲區,105,12月,54,5,0,18,3,9,258,64,0
新北市貢寮區,105,11月,1,6,0,24,0,8,216,7,0
